Number of Cases by Gender,Daily,Community,Federal Prisonin Lompoc, TotalÂ  (Community & Prison),Date
Female,21,3554,2,3556,"September 4, 2020"
Male,41,3716,1008,4724,"September 4, 2020"
Unknown,2,68,13,81,"September 4, 2020"
Pending,3,0,0,0,"September 4, 2020"
Female,41,3534,2,3536,"September 3, 2020"
Male,30,3677,1008,4685,"September 3, 2020"
Unknown,0,66,13,79,"September 3, 2020"
Pending,3,0,0,0,"September 3, 2020"
Female,36,3493,2,3495,"September 2, 2020"
Male,28,3648,1007,4655,"September 2, 2020"
Unknown,2,66,13,79,"September 2, 2020"
Pending,3,0,0,0,"September 2, 2020"
Female,7,3457,2,3459,"September 1, 2020"
Male,13,3621,1007,4628,"September 1, 2020"
Unknown,0,64,13,77,"September 1, 2020"
Pending,3,0,0,0,"September 1, 2020"
Female,25,3450,2,3452,"August 31, 2020"
Male,20,3610,1004,4614,"August 31, 2020"
Unknown,1,64,13,77,"August 31, 2020"
Pending,0,0,0,0,"August 31, 2020"
Female,30,3396,2,3398,"August 28, 2020"
Male,34,3540,1004,4544,"August 28, 2020"
Unknown,3,59,13,72,"August 28, 2020"
Pending,0,0,0,0,"August 28, 2020"
Female,17,3368,2,3370,"August 27, 2020"
Male,18,3508,1004,4512,"August 27, 2020"
Unknown,0,56,13,69,"August 27, 2020"
Pending,0,0,0,0,"August 27, 2020"
Female,20,3351,2,3353,"August 26, 2020"
Male,27,3490,1004,4494,"August 26, 2020"
Unknown,0,56,13,69,"August 26, 2020"
Pending,0,0,0,0,"August 26, 2020"
Female,37,3331,2,3333,"August 25, 2020"
Male,30,3463,1004,4467,"August 25, 2020"
Unknown,3,56,13,69,"August 25, 2020"
Pending,0,0,0,0,"August 25, 2020"
Female,37,3331,2,3333,"August 25, 2020"
Male,30,3463,1004,4467,"August 25, 2020"
Unknown,3,56,13,69,"August 25, 2020"
Pending,0,0,0,0,"August 25, 2020"
Female,37,3295,2,3297,"August 24, 2020"
Male,23,3433,1004,4437,"August 24, 2020"
Unknown,1,53,13,66,"August 24, 2020"
Pending,0,0,0,0,"August 24, 2020"
Female,32,3219,2,3221,"August 21, 2020"
Male,42,3364,1004,4368,"August 21, 2020"
Unknown,7,51,13,64,"August 21, 2020"
Pending,0,0,0,0,"August 21, 2020"
Female,32,3188,2,3190,"August 20, 2020"
Male,37,3326,1004,4330,"August 20, 2020"
Unknown,2,45,13,58,"August 20, 2020"
Pending,0,0,0,0,"August 20, 2020"
Female,13,3150,2,3152,"August 19, 2020"
Male,14,3283,1004,4287,"August 19, 2020"
Unknown,0,56,13,69,"August 19, 2020"
Pending,0,0,0,0,"August 19, 2020"
Female,12,3137,2,3139,"August 18, 2020"
Male,14,3269,1004,4273,"August 18, 2020"
Unknown,3,56,13,69,"August 18, 2020"
Pending,0,0,0,0,"August 18, 2020"
Female,41,3125,2,3127,"August 17, 2020"
Male,34,3257,1004,4261,"August 17, 2020"
Unknown,1,53,13,66,"August 17, 2020"
Pending,0,0,0,0,"August 17, 2020"
Female,59,3028,2,3030,"August 14, 2020"
Male,74,3179,1004,4183,"August 14, 2020"
Unknown,4,48,13,61,"August 14, 2020"
Pending,0,0,0,0,"August 14, 2020"
Female,34,2975,2,2977,"August 13, 2020"
Male,40,3110,1004,4114,"August 13, 2020"
Unknown,1,44,13,57,"August 13, 2020"
Pending,0,0,0,0,"August 13, 2020"
Female,7,2947,2,2940,"August 12, 2020"
Male,9,3074,1004,4078,"August 12, 2020"
Unknown,0,43,13,56,"August 12, 2020"
Pending,0,0,0,0,"August 12, 2020"
Female,38,2944,2,2946,"August 11, 2020"
Male,40,3068,1004,4072,"August 11, 2020"
Unknown,0,43,13,56,"August 11, 2020"
Pending,0,0,0,0,"August 11, 2020"
Female,99,2906,2,2908,"August 10, 2020"
Male,81,3028,1004,4032,"August 10, 2020"
Unknown,7,43,13,56,"August 10, 2020"
Pending,0,0,0,0,"August 10, 2020"
Female,32,2763,2,2765,"August 7, 2020"
Male,26,2889,1004,3893,"August 7, 2020"
Unknown,0,33,13,46,"August 7, 2020"
Pending,0,0,0,0,"August 7, 2020"
Female,32,2733,2,2735,"August 6, 2020"
Male,44,2867,1004,3871,"August 6, 2020"
Unknown,1,33,13,46,"August 6, 2020"
Pending,0,2,0,0,"August 6, 2020"
Female,27,2705,2,2707,"August 5, 2020"
Male,33,2830,1004,3834,"August 5, 2020"
Unknown,0,32,13,45,"August 5, 2020"
Pending,0,0,0,0,"August 5, 2020"
Female,29,2678,2,2680,"August 4, 2020"
Male,33,2797,1004,3801,"August 4, 2020"
Unknown,0,32,13,45,"August 4, 2020"
Pending,0,0,0,0,"August 4, 2020"
Female,13,2649,2,2651,"August 3, 2020"
Male,18,2764,1004,3768,"August 3, 2020"
Unknown,0,32,13,45,"August 3, 2020"
Pending,0,0,0,0,"August 3, 2020"
Female,29,2502,2,2504,"July 31, 2020"
Male,45,2623,996,3619,"July 31, 2020"
Unknown,0,31,13,44,"July 31, 2020"
Pending,0,0,0,0,"July 31, 2020"
Female,29,2473,2,2475,"July 30, 2020"
Male,43,2579,996,3575,"July 30, 2020"
Unknown,1,31,13,44,"July 30, 2020"
Pending,0,0,0,0,"July 30, 2020"
Female,47,2444,2,2446,"July 29, 2020"
Male,42,2536,996,3532,"July 29, 2020"
Unknown,2,30,13,43,"July 29, 2020"
Pending,0,0,0,0,"July 29, 2020"
Female,50,2398,2,2400,"July 28, 2020"
Male,48,2494,996,3490,"July 28, 2020"
Unknown,0,28,13,41,"July 28, 2020"
Pending,0,0,0,0,"July 28, 2020"
Female,51,2348,2,2350,"July 27, 2020"
Male,26,2449,996,3445,"July 27, 2020"
Unknown,0,28,13,41,"July 27, 2020"
Pending,0,0,0,0,"July 27, 2020"
Female,58,2224,2,2226,"July 24, 2020"
Male,73,2311,996,3307,"July 24, 2020"
Unknown,1,39,13,52,"July 24, 2020"
Pending,0,0,0,0,"July 24, 2020"
Female,87,2162,2,2164,"July 23, 2020"
Male,75,2233,995,3228,"July 23, 2020"
Unknown,0,39,13,52,"July 23, 2020"
Pending,0,0,0,0,"July 23, 2020"
Female,83,2075,2,2077,"July 22, 2020"
Male,76,2158,995,3153,"July 22, 2020"
Unknown,1,39,13,52,"July 22, 2020"
Pending,0,0,0,0,"July 22, 2020"
Female,70,1992,2,1994,"July 21, 2020"
Male,60,2084,995,3079,"July 21, 2020"
Unknown,4,38,13,51,"July 21, 2020"
Pending,1,0,0,0,"July 21, 2020"
Female,33,1922,2,1924,"July 20, 2020"
Male,43,2026,994,3020,"July 20, 2020"
Unknown,0,34,13,47,"July 20, 2020"
Pending,0,0,0,0,"July 20, 2020"
Female,56,1821,2,1823,"July 17, 2020"
Male,75,1902,992,2894,"July 17, 2020"
Unknown,0,29,13,42,"July 17, 2020"
Pending,6,0,0,6,"July 17, 2020"
Female,110,1771,2,1773,"July 16, 2020"
Male,106,1834,986,2713,"July 16, 2020"
Unknown,7,29,13,42,"July 16, 2020"
Pending,1,0,0,1,"July 16, 2020"
Female,42,1662,2,1664,"July 15, 2020"
Male,47,1728,985,2713,"July 15, 2020"
Unknown,0,22,13,35,"July 15, 2020"
Pending,0,0,0,0,"July 15, 2020"
Female,99,1620,2,1622,"July 14, 2020"
Male,85,1683,983,2666,"July 14, 2020"
Unknown,0,22,13,35,"July 14, 2020"
Pending,0,0,0,0,"July 14, 2020"
Female,27,1535,2,1537,"July 13, 2020"
Male,29,1585,983,2568,"July 13, 2020"
Unknown,0,22,13,35,"July 13, 2020"
Pending,0,0,0,0,"July 13, 2020"
Female,46,1439,2,1441,"July 10, 2020"
Male,27,1473,983,2456,"July 10, 2020"
Unknown,2,21,13,34,"July 10, 2020"
Pending,0,0,0,0,"July 10, 2020"
Female,36,1398,2,1400,"July 9, 2020"
Male,29,1453,983,2436,"July 9, 2020"
Unknown,0,19,13,32,"July 9, 2020"
Pending,0,0,0,0,"July 9, 2020"
Female,61,1364,2,1366,"July 8, 2020"
Male,60,1443,969,2412,"July 8, 2020"
Unknown,0,17,13,30,"July 8, 2020"
Pending,0,0,0,0,"July 8, 2020"
